Feature,Importance
Attendance,1.9420435983658846
Hours_Studied,1.3173450200221932
Previous_Scores,0.5896464875194163
Access_to_Resources,0.5712507375239891
Tutoring_Sessions,0.3755870380214922
Parental_Involvement,0.35942876684614405
Motivation_Level,0.30386545944571186
Family_Income,0.3028363646711885
Peer_Influence_Positive,0.3021776862073987
Parental_Education_Level,0.16967940213461447
Extracurricular_Activities_Yes,0.16197993356257318
Teacher_Quality,0.14391555024781616
Distance_from_Home,0.12605299682050883
Learning_Disabilities_Yes,0.08958543460099333
Physical_Activity,0.05681404231257367
Peer_Influence_Neutral,0.0518616630110943
Internet_Access_Yes,0.05091243209784268
Sleep_Hours,0.03539807259184475
Gender_Male,0.01757516428358077
School_Type_Public,0.01508482253111087
