Feature,Importance
Attendance,2.019636159712817
Hours_Studied,1.4064612210459446
Previous_Scores,0.6896571681299676
Access_to_Resources,0.570077291301973
Parental_Involvement,0.4815462515906275
Peer_Influence_Positive,0.4794535332788885
Tutoring_Sessions,0.45174718564748984
Family_Income,0.3653600007827581
Parental_Education_Level,0.35544086250387413
Motivation_Level,0.29541787978590406
Extracurricular_Activities_Yes,0.28825359609662177
Peer_Influence_Neutral,0.281697457463509
Distance_from_Home,0.2619617870280837
Teacher_Quality,0.2400085285913142
Learning_Disabilities_Yes,0.16835350173220487
Physical_Activity,0.15227973669199163
Internet_Access_Yes,0.1278345777757423
Gender_Male,0.023959696441711323
Sleep_Hours,0.020315864370795213
School_Type_Public,0.00724917311818437
