Feature,Importance
Attendance,2.007394688734068
Hours_Studied,1.3338743151656676
Previous_Scores,0.6097984959138948
Access_to_Resources,0.3142367152392786
Tutoring_Sessions,0.27345727787838164
Parental_Involvement,0.24852030435996536
Family_Income,0.14544497843530949
Parental_Education_Level,0.13292964279011796
Peer_Influence_Positive,0.12546303677973444
Motivation_Level,0.09613703280245996
Physical_Activity,0.0754003341877645
Distance_from_Home,0.06933798208642339
Teacher_Quality,0.06456788240054574
Extracurricular_Activities_Yes,0.05356021305938136
Sleep_Hours,0.037272798848945715
Learning_Disabilities_Yes,0.032179083945613245
Internet_Access_Yes,0.017207277664500153
Gender_Male,0.010556957389085644
School_Type_Public,0.009495621966080482
Peer_Influence_Neutral,0.0069987342130360085
